Node.1	Node.2	wTO
ENSG00000083720	ENSG00000124198	0.53
ENSG00000083720	ENSG00000249709	-0.52
ENSG00000083720	ENSG00000184988	-0.52
ENSG00000106479	ENSG00000108839	0.53
ENSG00000106479	ENSG00000163412	-0.52
ENSG00000106479	ENSG00000133703	-0.53
ENSG00000106479	ENSG00000163001	-0.53
ENSG00000106479	ENSG00000100934	-0.53
ENSG00000106479	ENSG00000161021	0.53
ENSG00000174132	ENSG00000196776	0.53
ENSG00000174132	ENSG00000165832	0.53
ENSG00000174132	ENSG00000075790	0.52
ENSG00000174132	ENSG00000123119	0.53
ENSG00000174132	ENSG00000184203	0.51
ENSG00000174132	ENSG00000151465	0.52
ENSG00000174132	ENSG00000134452	-0.51
ENSG00000174132	ENSG00000137996	0.52
ENSG00000174132	ENSG00000178127	0.51
ENSG00000174132	ENSG00000087157	-0.51
ENSG00000174132	ENSG00000237159	-0.51
ENSG00000151292	ENSG00000149313	0.53
ENSG00000151292	ENSG00000106299	0.52
ENSG00000157077	ENSG00000156642	0.52
ENSG00000157077	ENSG00000152932	0.51
ENSG00000285982	ENSG00000196776	0.54
ENSG00000285982	ENSG00000133703	0.54
ENSG00000285982	ENSG00000183308	0.53
ENSG00000285982	ENSG00000114686	0.54
ENSG00000285982	ENSG00000113966	0.54
ENSG00000285982	ENSG00000237990	0.53
ENSG00000285982	ENSG00000163001	0.54
ENSG00000285982	ENSG00000163281	0.53
ENSG00000285982	ENSG00000156642	0.54
ENSG00000285982	ENSG00000124532	0.53
ENSG00000285982	ENSG00000152932	0.54
ENSG00000285982	ENSG00000185875	0.51
ENSG00000285982	ENSG00000110675	0.55
ENSG00000285982	ENSG00000178074	0.52
ENSG00000285982	ENSG00000082397	0.54
ENSG00000285982	ENSG00000132640	0.51
ENSG00000285982	ENSG00000111707	0.53
ENSG00000285982	ENSG00000196172	0.5
ENSG00000144635	ENSG00000109738	0.55
ENSG00000144635	ENSG00000108839	-0.54
ENSG00000144635	ENSG00000163376	0.55
ENSG00000144635	ENSG00000145864	0.55
ENSG00000144635	ENSG00000285651	-0.52
ENSG00000144635	ENSG00000149313	0.55
ENSG00000144635	ENSG00000196776	0.55
ENSG00000144635	ENSG00000152382	0.53
ENSG00000144635	ENSG00000255082	0.54
ENSG00000144635	ENSG00000134574	-0.52
ENSG00000144635	ENSG00000165832	0.55
ENSG00000144635	ENSG00000116106	0.53
ENSG00000144635	ENSG00000133703	0.55
ENSG00000144635	ENSG00000183308	0.54
ENSG00000144635	ENSG00000198380	0.53
ENSG00000144635	ENSG00000129691	0.52
ENSG00000144635	ENSG00000163541	0.54
ENSG00000144635	ENSG00000237990	0.53
ENSG00000144635	ENSG00000163001	0.55
ENSG00000144635	ENSG00000115137	0.54
ENSG00000144635	ENSG00000156642	0.55
ENSG00000144635	ENSG00000166006	0.54
ENSG00000144635	ENSG00000205482	-0.53
ENSG00000144635	ENSG00000161791	-0.53
ENSG00000144635	ENSG00000257923	-0.51
ENSG00000144635	ENSG00000137494	0.54
ENSG00000144635	ENSG00000270049	-0.53
ENSG00000144635	ENSG00000106524	0.53
ENSG00000144635	ENSG00000102078	0.54
ENSG00000144635	ENSG00000185875	0.53
ENSG00000144635	ENSG00000205981	0.53
ENSG00000144635	ENSG00000161021	-0.54
ENSG00000144635	ENSG00000068724	-0.52
ENSG00000144635	ENSG00000004897	0.55
ENSG00000144635	ENSG00000164024	0.51
ENSG00000144635	ENSG00000178074	0.54
ENSG00000144635	ENSG00000198556	-0.53
ENSG00000144635	ENSG00000174405	0.53
ENSG00000144635	ENSG00000009830	-0.53
ENSG00000144635	ENSG00000118873	0.54
ENSG00000144635	ENSG00000089775	0.53
ENSG00000144635	ENSG00000198169	-0.51
ENSG00000144635	ENSG00000049130	0.52
ENSG00000144635	ENSG00000162804	-0.51
ENSG00000144635	ENSG00000108590	0.54
ENSG00000144635	ENSG00000260448	-0.53
ENSG00000144635	ENSG00000174106	0.53
ENSG00000144635	ENSG00000118518	0.51
ENSG00000144635	ENSG00000234899	-0.51
ENSG00000144635	ENSG00000107518	0.53
ENSG00000144635	ENSG00000198496	-0.53
ENSG00000144635	ENSG00000260412	0.53
ENSG00000144635	ENSG00000132640	0.53
ENSG00000144635	ENSG00000285458	-0.5
ENSG00000144635	ENSG00000265354	0.54
ENSG00000144635	ENSG00000117906	0.52
ENSG00000144635	ENSG00000170469	-0.52
ENSG00000144635	ENSG00000120526	0.52
ENSG00000144635	ENSG00000138134	0.51
ENSG00000144635	ENSG00000165355	0.54
ENSG00000144635	ENSG00000162337	-0.51
ENSG00000144635	ENSG00000173821	-0.53
ENSG00000144635	ENSG00000266714	-0.52
ENSG00000144635	ENSG00000180891	-0.52
ENSG00000144635	ENSG00000101004	-0.53
ENSG00000144635	ENSG00000124198	0.53
ENSG00000144635	ENSG00000249709	-0.51
ENSG00000144635	ENSG00000243646	-0.53
ENSG00000144635	ENSG00000128849	-0.52
ENSG00000109738	ENSG00000196776	0.53
ENSG00000109738	ENSG00000113161	0.53
ENSG00000109738	ENSG00000255082	0.54
